DataRef;Command
laminar/A333/buttons/ecam/clr_fo;
laminar/A333/buttons/ecam/fuel_pos;laminar/A333/button/ecam/fuel_mode
laminar/A333/buttons/ecam/hyd_pos;laminar/A333/button/ecam/hyd_mode
laminar/A333/buttons/ecam/el_dc_pos;laminar/A333/button/ecam/el_dc_mode
laminar/A333/buttons/ecam/f_ctl_pos;laminar/A333/button/ecam/f_ctl_mode
laminar/A333/buttons/ecam/el_ac_pos;laminar/A333/button/ecam/el_ac_mode
laminar/A333/buttons/ecam/wheel_pos;laminar/A333/button/ecam/wheel_mode
laminar/A333/buttons/ecam/rcl_pos;laminar/A333/button/ecam/rcl_mode
laminar/A333/buttons/ecam/sts_pos;laminar/A333/button/ecam/sts_mode
laminar/A333/buttons/ecam/door_pos;laminar/A333/button/ecam/door_mode
laminar/A333/buttons/ecam/press_pos;laminar/A333/button/ecam/press_mode
laminar/A333/buttons/ecam/bleed_pos;laminar/A333/button/ecam/bleed_mode
laminar/A333/buttons/ecam/to_config_pos;laminar/A333/button/ecam/to_config_test
laminar/A333/buttons/ecam/cond_pos;laminar/A333/button/ecam/cond_mode
laminar/A333/buttons/ecam/clr_capt_pos;laminar/A333/button/ecam/clr_capt
laminar/A333/buttons/ecam/apu_pos;laminar/A333/button/ecam/apu_mode
laminar/A333/buttons/cvr_erase_pos;laminar/A333/buttons/rcdr/cvr_erase_push
laminar/A333/buttons/cvr_test_pos;laminar/A333/buttons/rcdr/cvr_test_push
laminar/A333/buttons/misc/rain_repellent_fo_pos;laminar/A333/buttons/misc/rain_repellent_fo
laminar/A333/fire/buttons/cargo_test_pos;laminar/A333/fire/buttons/cargo_fire_test_push
laminar/A333/buttons/misc/rain_repellent_capt_pos;laminar/A333/buttons/misc/rain_repellent_capt
laminar/A333/buttons/call/aft_pos;laminar/A333/buttons/call/aft_push
laminar/A333/buttons/call/exit_pos;laminar/A333/buttons/call/exit_push
laminar/A333/buttons/call/mid_pos;laminar/A333/buttons/call/mid_push
laminar/A333/buttons/call/fwd_pos;laminar/A333/buttons/call/fwd_push
laminar/A333/buttons/call/purs_pos;laminar/A333/buttons/call/purs_push
laminar/A333/buttons/call/all_pos;laminar/A333/buttons/call/all_push
laminar/A333/buttons/call/cab_rest_pos;laminar/A333/buttons/call/cab_rest_push
laminar/A333/buttons/call/flt_rest_pos;laminar/A333/buttons/call/flt_rest_push
laminar/A333/buttons/call/mech_pos;laminar/A333/buttons/call/mech_push
laminar/A333/buttons/evac_horn_off_pos;laminar/A333/buttons/evac_horn_off_push
laminar/A333/buttons/APU_master;laminar/A333/buttons/APU_master
laminar/A333/buttons/APU_start;laminar/A333/buttons/APU_start
laminar/A333/buttons/wing_anti_ice;sim/ice/wing_heat_tog
laminar/A333/buttons/engine_anti_ice1;sim/ice/inlet_heat0_tog
laminar/A333/buttons/engine_anti_ice2;sim/ice/inlet_heat1_tog
laminar/A333/buttons/window_probe_ice;laminar/A333/buttons/probe_window_heat_toggle
laminar/A333/buttons/ditching_pos;laminar/A333/buttons/ditching_tog
laminar/A333/buttons/eng_bleed_1_pos;sim/bleed_air/engine_1_toggle
laminar/A333/buttons/hot_air1_pos;laminar/A333/switches/hot_air1_toggle
laminar/A333/buttons/apu_bleed_pos;sim/bleed_air/apu_toggle
laminar/A333/buttons/hot_air2_pos;laminar/A333/switches/hot_air2_toggle
laminar/A333/buttons/eng_bleed_2_pos;sim/bleed_air/engine_2_toggle
laminar/A333/buttons/pack_2_pos;sim/bleed_air/pack_right_toggle
laminar/A333/buttons/pack_1_pos;sim/bleed_air/pack_left_toggle
laminar/A333/buttons/ram_air_pos;laminar/A333/switches/ram_air_toggle
laminar/A333/buttons/ext_power_B_pos;laminar/A333/buttons/external_powerB_toggle
laminar/A333/buttons/ext_power_A_pos;laminar/A333/buttons/external_powerA_toggle
laminar/A333/buttons/gen_apu_pos;laminar/A333/buttons/APU_gen_toggle
laminar/A333/buttons/gen1_pos;sim/electrical/generator_1_toggle
laminar/A333/buttons/IDG1_discon_pos;laminar/A333/buttons/IDG1_disconnect
laminar/A333/buttons/bus_tie_pos;sim/electrical/cross_tie_toggle
laminar/A333/buttons/gen2_pos;sim/electrical/generator_2_toggle
laminar/A333/buttons/IDG2_discon_pos;laminar/A333/buttons/IDG2_disconnect
laminar/A333/buttons/galley_pos;laminar/A333/buttons/galley_toggle
laminar/A333/buttons/commercial_pos;laminar/A333/buttons/commercial_toggle
laminar/A333/buttons/APU_batt_pos;laminar/A333/buttons/APU_batt_toggle
laminar/A333/buttons/battery2_pos;sim/electrical/battery_2_toggle
laminar/A333/buttons/battery1_pos;sim/electrical/battery_1_toggle
laminar/A333/buttons/AC_ESS_FEED_pos;laminar/A333/buttons/ACESSFeed_toggle
laminar/A333/fuel/buttons/left_stby_pump_pos;laminar/A333/switches/left_stby_pump_toggle
laminar/A333/fuel/buttons/left2_pump_pos;laminar/A333/switches/left2_pump_toggle
laminar/A333/fuel/buttons/left1_pump_pos;laminar/A333/switches/left1_pump_toggle
laminar/A333/fuel/buttons/center_left_pump_pos;laminar/A333/switches/center_left_pump_toggle
laminar/A333/fuel/buttons/trim_xfr_pos;laminar/A333/switches/trim_xfr_toggle
laminar/A333/fuel/buttons/center_xfr_pos;laminar/A333/switches/center_xfr_toggle
laminar/A333/fuel/buttons/center_right_pump_pos;laminar/A333/switches/center_right_pump_toggle
laminar/A333/fuel/buttons/wing_x_feed_pos;laminar/A333/switches/wing_x_feed_toggle
laminar/A333/fuel/buttons/outer_tank_xfr_pos;laminar/A333/switches/outer_tank_xfr_toggle
laminar/A333/fuel/buttons/right2_pump_pos;laminar/A333/switches/right2_pump_toggle
laminar/A333/fuel/buttons/right1_pump_pos;laminar/A333/switches/right1_pump_toggle
laminar/A333/fuel/buttons/right_stby_pump_pos;laminar/A333/switches/right_stby_pump_toggle
laminar/A330/buttons/hyd/rat_deploy_pos;laminar/A330/buttons/hyd/ram_air_turbine_deploy
